parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Carnobacteriaceae	0.15244	321.8584	0.1308
growth_rate	NA	C1	0.28832	321.8584	0.17839
growth_rate	NA	C2	0.19096	321.8584	0.17853
growth_rate	NA	M1	0.39183	321.8584	0.23007
growth_rate	NA	M2	0.11392	321.8584	0.084932
growth_rate	NA	M3	0.062731	321.8584	0.048392
growth_rate	NA	M4	0.7754	321.8584	0.44433
growth_rate	NA	M5	0.42651	321.8584	0.21429
growth_rate	NA	P1	0.10264	321.8584	0.085687
growth_rate	NA	P2	0.18121	321.8584	0.15731
growth_rate	NA	P3	0.061106	321.8584	0.057565
growth_rate	NA	P4	0.33201	321.8584	0.13128
growth_rate	NA	P5	0.42775	321.8584	0.24934
growth_rate	NA	P6	90.9986	321.8584	0.028687
growth_rate	NA	Sta1	1.6202	321.8584	0.49366
growth_rate	NA	Sta2	0.21825	321.8584	0.083074
growth_rate	NA	Sta3	862.1367	321.8584	317.2809
growth_rate	NA	Sta4	0.25307	321.8584	0.13731
growth_rate	NA	Stre1	1.1409	321.8584	0.33598
growth_rate	NA	Stre2	0.32969	321.8584	0.13002
interaction	Carnobacteriaceae	Carnobacteriaceae	-107.5407	321.8584	23.9034
interaction	Carnobacteriaceae	C1	6.3768	321.8584	6.4836
interaction	Carnobacteriaceae	C2	32.2577	0.26504	64.8941
interaction	Carnobacteriaceae	M1	-0.10506	0.003613	2.5698
interaction	Carnobacteriaceae	M2	-0.010908	0.0014688	0.63219
interaction	Carnobacteriaceae	M3	-0.080156	0.0041057	1.4884
interaction	Carnobacteriaceae	M4	-2.098	0.016673	28.9426
interaction	Carnobacteriaceae	M5	0.088811	0.0079742	9.236
interaction	Carnobacteriaceae	P1	-0.21562	0.0057214	3.5274
interaction	Carnobacteriaceae	P2	-0.040124	0.0074326	10.4242
interaction	Carnobacteriaceae	P3	-0.74895	0.018837	5.9102
interaction	Carnobacteriaceae	P4	-0.02247	0.0013797	0.82698
interaction	Carnobacteriaceae	P5	-0.26815	0.0077485	10.5015
interaction	Carnobacteriaceae	P6	7.0247	0.76277	765.811
interaction	Carnobacteriaceae	Sta1	-61.8219	321.8584	36.895
interaction	Carnobacteriaceae	Sta2	-0.0063045	0.00088968	0.39343
interaction	Carnobacteriaceae	Sta3	-649.7575	321.8584	488.3012
interaction	Carnobacteriaceae	Sta4	0.13871	0.005317	5.0141
interaction	Carnobacteriaceae	Stre1	-47.049	321.8584	25.0372
interaction	Carnobacteriaceae	Stre2	0.018141	0.0017363	0.89196
interaction	C1	Carnobacteriaceae	4.1004	321.8584	3.7001
interaction	C1	C1	-25.9183	321.8584	9.7438
interaction	C1	C2	-2.1669	0.078878	8.1193
interaction	C1	M1	-0.23824	0.0079742	2.9706
interaction	C1	M2	-0.0024654	0.00057811	0.23605
interaction	C1	M3	0.00038441	0.00031121	0.074296
interaction	C1	M4	0.046692	0.002942	2.1522
interaction	C1	M5	-0.32083	0.0092402	3.719
interaction	C1	P1	-0.0013219	0.00062261	0.25111
interaction	C1	P2	-0.048833	0.0022718	1.2483
interaction	C1	P3	-0.25984	0.012829	2.4605
interaction	C1	P4	-0.032872	0.0021825	0.8549
interaction	C1	P5	0.10638	0.0037921	2.6927
interaction	C1	P6	-34.3628	0.59326	567.6588
interaction	C1	Sta1	-19.6064	321.8584	12.161
interaction	C1	Sta2	-0.011771	0.0015134	0.35139
interaction	C1	Sta3	-345.7864	321.8584	381.7169
